Screen size,Screen type,Chip,RAM,ROM,Batery,OS,Screen resolution,Price,Mobile network,Camera count,Camera max MP
6.7,AMOLED,snapdragon,8192.0,262144.0,5000.0,android,2592000.0,10190,5.0,0,108.0
6.1,IPS LCD,apple,4096.0,65536.0,3110.0,ios,1483776.0,11490,5.0,0,108.0
6.7,OLED,apple,6144.0,131072.0,4325.0,ios,3566952.0,29790,5.0,0,108.0
6.43,AMOLED,snapdragon,4096.0,65536.0,5000.0,android,2604960.0,4490,5.0,0,108.0
6.7,OLED,apple,6144.0,131072.0,2406.0,ios,3566952.0,27000,5.0,0,108.0
6.8,AMOLED,snapdragon,8192.0,131072.0,5000.0,android,4446720.0,29190,5.0,0,108.0
6.67,AMOLED,mediatek dimensity,8192.0,262144.0,4500.0,android,2592000.0,9200,5.0,0,108.0
6.6,AMOLED,snapdragon,8192.0,131072.0,4500.0,android,2527200.0,24490,5.0,0,108.0
6.67,AMOLED,mediatek dimensity,8192.0,131072.0,5000.0,android,2592000.0,9900,5.0,0,108.0
6.9,AMOLED,exynos,12288.0,262144.0,4500.0,android,4446720.0,18990,5.0,0,108.0
6.1,OLED,apple,4096.0,131072.0,3200.0,ios,2962440.0,21450,5.0,0,108.0
6.1,OLED,apple,4096.0,65536.0,2406.0,ios,2962440.0,15990,5.0,0,108.0
6.43,AMOLED,snapdragon,8192.0,131072.0,4500.0,android,2592000.0,9390,5.0,0,108.0
6.8,IPS LCD,mediatek helio,4096.0,65536.0,6000.0,android,1180800.0,2649,5.0,0,108.0
6.1,IPS LCD,apple,4096.0,131072.0,3110.0,ios,1483776.0,13500,5.0,0,108.0
6.55,AMOLED,snapdragon,8192.0,131072.0,4250.0,android,2592000.0,7490,5.0,0,108.0
6.58,IPS LCD,snapdragon,4096.0,65536.0,5000.0,android,2600640.0,4350,5.0,0,108.0
6.67,AMOLED,mediatek helio,8192.0,131072.0,5000.0,android,2592000.0,7490,5.0,0,108.0
6.7,AMOLED,snapdragon,8192.0,262144.0,5000.0,android,2592000.0,10190,5.0,0,108.0
6.1,IPS LCD,apple,4096.0,65536.0,3110.0,ios,1483776.0,11490,5.0,0,108.0
6.7,OLED,apple,6144.0,131072.0,4325.0,ios,3566952.0,29790,5.0,0,108.0
6.43,AMOLED,snapdragon,4096.0,65536.0,5000.0,android,2604960.0,4490,5.0,0,108.0
6.7,OLED,apple,6144.0,131072.0,2406.0,ios,3566952.0,27000,5.0,0,108.0
6.8,AMOLED,snapdragon,8192.0,131072.0,5000.0,android,4446720.0,29190,5.0,0,108.0
6.67,AMOLED,mediatek dimensity,8192.0,262144.0,4500.0,android,2592000.0,9200,5.0,0,108.0
6.6,AMOLED,snapdragon,8192.0,131072.0,4500.0,android,2527200.0,24490,5.0,0,108.0
6.67,AMOLED,mediatek dimensity,8192.0,131072.0,5000.0,android,2592000.0,9900,5.0,0,108.0
6.9,AMOLED,exynos,12288.0,262144.0,4500.0,android,4446720.0,18990,5.0,0,108.0
6.1,OLED,apple,4096.0,131072.0,3200.0,ios,2962440.0,21450,5.0,0,108.0
6.1,OLED,apple,4096.0,65536.0,2406.0,ios,2962440.0,15990,5.0,0,108.0
6.43,AMOLED,snapdragon,8192.0,131072.0,4500.0,android,2592000.0,9390,5.0,0,108.0
